ra,dec,phot_g_mean_mag,bp_rp
325.54211813346353,1.2852170422034874,5.170779,1.5970044
325.2010023961922,3.8969404418212115,6.2624245,1.7079601
337.49132845749835,4.431011082928236,5.371577,0.514081
347.38107805306356,8.677154419410527,3.7052495,2.732137
333.99940610536356,8.549525071065995,6.192805,0.037751675
338.16488553641545,13.044622074687487,6.475964,0.4841404
339.1744719302984,13.155823829092581,6.439712,1.7897406
7.346552107080196,-40.66546554603181,6.4181423,1.4331074
25.364124384987363,-38.132574860311976,6.1023846,0.54712725
24.61443907212411,-36.528792119124724,5.659163,1.1997237
21.74200942573645,-32.5433145127799,4.81754,2.880106
20.87891530866383,-30.945817781894554,5.089226,1.9921079
41.085703725827464,-32.524814271912135,6.206201,0.051769733
38.04774827004587,-32.606344524204964,6.1987247,1.4176126
43.87363227373728,-25.304941694566708,6.2714095,1.2766752
42.46209034457307,-24.560881631070938,5.8594356,1.2191882
41.79618470114415,-22.485939213034417,6.3676553,0.54457617
35.520801520850604,-17.662430947993332,5.516738,1.3723826
36.487471607924974,-12.290517800267523,4.851116,0.0067367554
40.05113726351545,-9.453221727859624,5.665346,0.67860794
35.507075429878995,-10.77789995273945,5.3359394,0.51013327
41.038070782266956,-6.413923116202559,6.475032,2.9398746
334.11052726763813,-41.62724287913176,4.8613653,1.0976605
330.2093461918356,-28.453738087677383,5.751,-0.05530882
341.38548231882424,-25.236892626663426,6.4917126,0.27410078
333.4354917811786,-25.180865073352308,5.457787,0.6699872
334.24971862422177,-23.140515712421802,5.8928003,1.2171345
316.78182011887355,-25.006049087813057,3.7819405,1.936008
317.1401944809511,-21.19393790589923,5.307563,0.0015158653
324.8671914458387,-10.577110629572292,5.7876787,1.1970873
321.44597546549136,36.66734285465202,5.8740473,-0.11515379
37.87550010042334,2.26714041299335,4.8647137,1.4226408
3.4481206750222064,1.3835250779631585,6.4287767,1.3646379
12.073038769441556,7.299950217622877,5.613682,1.2602015
24.181379594616292,7.831568099674131,5.3385305,2.3973427
30.66118785290443,7.676659795191084,6.4264364,4.795335
17.870769948323463,10.291880867210171,6.2691064,1.0574632
10.298922553155373,9.35459946071541,6.4073553,0.66122913
3.733122945045857,22.28417805663959,6.246143,-0.004272938
9.739619058775931,26.323670316887096,6.4443727,1.5659404
346.5766418473678,18.51804186055182,6.0563617,0.60146
351.3458577723543,23.404261624701185,4.2580924,0.7842891
350.15953538948116,23.740343929010553,4.5333734,0.28269577
347.9540252204196,26.84679255237441,5.944586,1.1218781
356.87227572766847,25.579493878122477,6.4265537,1.365335
3.794097482551785,27.283375272682967,6.350903,-0.012779236
352.87564729104054,28.666121933100385,6.290741,1.114614
88.71860970814598,-39.957765377148824,4.8870573,1.8797607
88.19880530387428,-38.526048413712246,6.447441,1.23669
99.92771320488951,-30.471342701194736,5.385111,1.2893543
96.79649729040557,-25.857460600679648,5.9288,0.69621325
85.81048049050302,-33.424950384697595,5.6882663,2.6519904
87.28034379064717,-32.50438149233355,6.300305,1.7471104
84.52874707874481,-27.21075310133157,5.9332786,1.7563372
93.8240851858973,-18.477472707084125,5.6897664,1.2073293
93.19299673489706,-17.76320992134745,6.483767,-0.24478245
103.54687424806049,-12.038691754586718,3.5294538,1.6721218
78.21589797086007,-27.177591800207377,6.401865,1.848402
85.56024139373625,-17.530347448258976,5.717367,1.5047679
74.43617961720844,-14.23196578362131,6.1169224,-0.33050346
89.11774272578033,-11.278159544583716,6.478888,1.3052735
90.4600629580155,-10.59791301801762,4.9612155,-0.12645483
97.20443082022794,-7.033072532821691,4.539529,-0.055144787
84.36399983410828,-5.938398154664781,5.9929466,-0.327456
92.19861811032685,-6.821335729323058,6.240868,1.051611
93.87374003729839,-4.914869292339995,6.0071425,0.07842207
96.64349548112578,-4.59740581357421,6.1312404,-0.20809078
93.89206792943187,-0.5131597513847594,5.5015097,0.6718974
61.47552722264272,-10.29581029834948,5.9105983,2.645894
68.47801486666576,-6.738938425362701,5.7296476,-0.14077091
87.17086488212266,-1.7855666687969456,6.414361,1.6415911
82.42370106902293,-0.802800195224556,6.456484,0.3500228
42.64699177181774,36.947752893027484,6.294179,0.78479624
62.16553233551129,47.71236664387762,3.9444187,0.08656311
52.64371528526615,47.99530064901789,3.8675852,1.5535862
59.1528146624188,50.69479996042314,5.167717,0.57158613
74.94293443641553,53.155403981240084,5.5645556,1.6443405
75.400340188798,61.07720233047317,5.9388194,0.566648
82.54245856664122,63.06719805922208,4.6065855,2.1169193
37.60505635459021,47.85375626395802,6.419242,2.143571
36.103986575830724,50.00638343724548,4.9302106,1.1297379
15.362720597777015,49.544211050006226,6.1919794,1.241662
10.516330240572175,50.512506558020945,4.776489,-0.12731218
6.2768743148044965,53.04676265248804,5.694212,-0.061093807
13.750379736127003,58.97249926990205,4.45898,1.3680451
14.195950792545961,60.3628186209266,5.967921,-0.06682682
14.177450998208093,60.71672280471204,2.0645833,0.41073465
7.583182661597637,59.97753019197706,5.942178,0.05678892
0.6504657189348808,66.0989627384363,5.585219,1.2003665
43.5644294632559,52.7624559609044,3.707698,1.003762
51.489253162496354,49.12063982878606,6.068375,-0.09796476
36.965963955868446,50.56957303417661,6.0464883,0.5972271
42.94789540354632,53.03177274034158,6.459504,1.525765
35.48097631632931,57.24291124391237,6.234268,0.8735075
44.123978210742,62.60958026582093,6.1169815,2.3044872
56.50969325226341,63.344987620350096,4.4914093,1.11953
61.66206456695796,65.52068527037717,6.12382,0.2033472
49.99708098036551,65.65222617297296,4.6590376,-0.099767685
32.87163383750768,57.64554234364665,6.2792935,0.5257673
28.599188504594277,63.670018347664225,3.3546658,-0.027085543
41.20727616113533,67.82448892388781,5.9381804,0.16559267
20.272557487648427,64.65802914556106,6.3175707,0.13417053
14.62991401446846,66.35173619401951,5.9624877,-0.0035057068
33.207469974364564,79.69162280580811,6.461599,0.31895018
150.80690007915743,50.109187837077606,6.3764515,1.631712
152.8329289582321,49.451988897100506,5.9611735,1.7223029
151.2931824619263,52.37130638165041,6.298611,0.17791319
172.43079093133198,56.73742497420666,6.265272,0.20450783
155.12954254592466,54.21680961510735,5.6830554,1.301363
121.79137761061439,43.26021139868201,6.342282,-0.03231573
96.6074425871591,56.285193431975244,5.4875603,0.30339146
101.55967733399132,59.44183822528367,6.0162544,0.1973424
145.31946817703354,55.866334919998614,6.1966667,1.2497807
129.17017312742686,49.37627867842972,6.151962,2.3282714
161.90284410967712,65.61646557301746,5.7610083,2.6932263
172.85040436553678,69.33099194674183,3.1029344,1.8182423
137.0976608806673,66.87305327249916,4.5617146,1.7331998
155.26325619516697,68.74750463579039,5.8277864,0.3561039
128.64991038948975,65.1448198446271,5.4203057,0.26510477
93.21282805567488,65.71828195791502,4.9220138,1.4687042
94.7115958307609,69.3192875925663,4.756203,0.04357338
112.71941153449691,68.46545667457782,5.2948775,1.3199291
139.98142554005295,74.01631501422666,6.142982,1.1994143
119.05927122870598,80.26593957502311,6.3770027,0.8904171
137.8021312120234,80.82883965726784,6.2756004,0.5291624
267.267501049366,50.78197500608699,5.0125294,0.061932564
265.3405575920714,51.81812521991964,5.7232037,1.1903253
240.69992929834103,46.03643052959376,4.686431,-0.09048939
246.63291437262615,47.95816326608891,6.240175,1.1868858
264.2504781694373,57.74030933909335,6.462543,3.886508
